pro_com_t,cap
015195,20098
015200,20010
015201,20028
015202,20070
015204,20018
015205,20090
015206,20030
015209,20099
015210,20090
015211,20019
015213,20020
015219,20060
015220,20090
015221,20056
015222,20067
015224,20060
015226,20029
015229,20010
015230,20069
015236,20080
015237,20060
015242,20055
015243,20010
015244,20070
015247,20080
015248,20035
015249,20020
015250,20021
015251,20080
016001,24060
016002,24060
016003,24061
016004,24021
016005,24011
016006,24030
016007,24031
016008,24022
016009,24030
016010,24051
016011,24040
016012,24020
016013,24040
016014,24010
016015,24020
016016,24052
016017,24020
016018,24060
016019,24040
016020,24050
016021,24030
016022,24030
016023,24030
016024,24122
016025,24060
016026,24060
016027,24010
016028,24060
016029,24040
016030,24040
016031,24040
016032,24060
016033,24060
016034,24040
016035,24010
016036,24010
016037,24041
016038,24030
016040,24053
016041,24037
016042,24060
016043,24050
016044,24054
016046,24033
016047,24040
016048,24010
016049,24040
016050,24030
016051,24042
016052,24030
016053,24043
016055,24060
016056,24010
016057,24030
016058,24060
016059,24040
016060,24020
016061,24010
016062,24060
016063,24040
016064,24020
016065,24063
016066,24050
016067,24026
016068,24060
016069,24069
016070,24020
016071,24020
016072,24040
016073,24060
016074,24034
016075,24040
016076,24050
016077,24023
016078,24020
016079,24055
016080,24020
016081,24040
016082,24030
016083,24050
016084,24060
016085,24030
016086,24062
016087,24050
016088,24060
016089,24035
016090,24010
016091,24044
016092,24010
016093,24060
016094,24060
016096,24045
016097,24058
016098,24040
016099,24020
016100,24020
016101,24056
016102,24060
016103,24010
016104,24060
016105,24040
016106,24030
016107,24020
016108,24024
016109,24060
016110,24060
016111,24025
016113,24050
016114,24060
016115,24020
016116,24020
016117,24050
016118,24020
016119,24060
016120,24064
016121,24010
016122,24040
016123,24040
016124,24026
016125,24010
016126,24040
016127,24030
016128,24065
016129,24050
016130,24069
016131,24040
016132,24030
016133,24057
016134,24010
016135,24040
016136,24010
016137,24060
016139,24060
016140,24050
016141,24050
016142,24050
016143,24030
016144,24027
016145,24010
016146,24013
016147,24020
016148,24020
016149,24020
016150,24050
016151,24010
016152,24040
016153,24046
016154,24040
016155,24030
016156,24030
016157,24050
016158,24020
016159,24060
016160,24066
016161,24020
016162,24060
016163,24020
016164,24014
016165,24010
016166,24010
016167,24040
016168,24028
016169,24010
016170,24036
016171,24030
016172,24040
016173,24020
016174,24060
016175,24020
016176,24030
016177,24050
016178,24020
016179,24060
016180,24060
016182,24060
016183,24058
016184,24010
016185,24030
016186,24037
016187,24020
016188,24015
016189,24060
016190,24016
016191,24010
016193,24067
016194,24020
016195,24020
016196,24010
016197,24020
016198,24068
016199,24017
016200,24060
016201,24020
016202,24010
016203,24039
016204,24060
016205,24060
016206,24050
016207,24040
016208,24030
016209,24040
016210,24010
016211,24060
016212,24060
016213,24030
016214,24020
016215,23806
016216,24060
016217,24050
016218,24069
016219,24047
016220,24048
016221,24010
016222,24059
016223,24020
016224,24030
016225,24020
016226,24010
016227,24010
016229,24010
016230,24010
016232,24040
016233,24049
016234,24029
016235,24060
016236,24060
016237,24060
016238,24030
016239,24018
016240,24020
016241,24020
016242,24060
016243,24020
016244,24060
016245,24050
016246,24019
016247,24010
016248,24010
016249,24017
016250,24030
016251,24030
016252,24038
016253,24012
017001,25010
017002,25030
017003,25071
017004,25020
017005,25070
017006,25040
017007,25040
017008,25020
017009,25021
017010,25072
017011,25030
017012,25070
017013,25020
017014,25081
017015,25030
017016,25040
017017,25040
017018,25040
017019,25070
017020,25022
017021,25010
017022,25042
017023,25082
017024,25061
017025,25073
017026,25030
017027,25040
017028,25043
017029,25121
017030,25060
017031,25070
017032,25011
017033,25080
017034,25012
017035,25044
017036,25070
017037,25020
017038,25031
017039,25013
017040,25045
017041,25030
017042,25030
017043,25014
017044,25070
017045,25030
017046,25046
017047,25051
017048,25060
017049,25040
017050,25040
017051,25040
017052,25032
017053,25020
017054,25050
017055,25040
017056,25030
017057,25060
017058,25060
017059,25033
017060,25030
017061,25062
017062,25040
017063,25040
017064,25030
017065,25047
017066,25020
017067,25015
017068,25048
017069,25030
017070,25040
017071,25020
017072,25020
017073,25020
017074,25083
017075,25063
017076,25084
017077,25085
017078,25016
017079,25040
017080,25023
017081,25064
017082,25074
017083,25040
017084,25061
017085,25049
017086,25010
017087,25074
017088,25024
017089,25010
017090,25060
017091,25030
017092,25017
017093,25030
017094,25050
017095,25040
017096,25065
017097,25030
017098,25080
017099,25030
017100,25053
017101,25040
017102,25080
017103,25025
017104,25060
017105,25060
017106,25054
017107,25080
017108,25020
