pro_com_t,wiki
003018,https://it.wikipedia.org/wiki/Biandrate
003019,https://it.wikipedia.org/wiki/Boca
003021,https://it.wikipedia.org/wiki/Bogogno
003022,https://it.wikipedia.org/wiki/Bolzano_Novarese
003023,https://it.wikipedia.org/wiki/Borgolavezzaro
003024,https://it.wikipedia.org/wiki/Borgomanero
003025,https://it.wikipedia.org/wiki/Borgo_Ticino
003026,https://it.wikipedia.org/wiki/Briga_Novarese
003027,https://it.wikipedia.org/wiki/Briona
003030,https://it.wikipedia.org/wiki/Caltignaga
003032,https://it.wikipedia.org/wiki/Cameri
003036,https://it.wikipedia.org/wiki/Carpignano_Sesia
003037,https://it.wikipedia.org/wiki/Casalbeltrame
003039,https://it.wikipedia.org/wiki/Casaleggio_Novara
003040,https://it.wikipedia.org/wiki/Casalino
003041,https://it.wikipedia.org/wiki/Casalvolone
003042,https://it.wikipedia.org/wiki/Castellazzo_Novarese
003043,https://it.wikipedia.org/wiki/Castelletto_sopra_Ticino
003044,https://it.wikipedia.org/wiki/Cavaglietto
003045,https://it.wikipedia.org/wiki/Cavaglio_d'Agogna
003047,https://it.wikipedia.org/wiki/Cavallirio
003049,https://it.wikipedia.org/wiki/Cerano
003051,https://it.wikipedia.org/wiki/Colazza
003052,https://it.wikipedia.org/wiki/Comignago
003055,https://it.wikipedia.org/wiki/Cressa
003058,https://it.wikipedia.org/wiki/Cureggio
003060,https://it.wikipedia.org/wiki/Divignano
003062,https://it.wikipedia.org/wiki/Dormelletto
003065,https://it.wikipedia.org/wiki/Fara_Novarese
003066,https://it.wikipedia.org/wiki/Fontaneto_d'Agogna
003068,https://it.wikipedia.org/wiki/Galliate
003069,https://it.wikipedia.org/wiki/Garbagna_Novarese
003070,https://it.wikipedia.org/wiki/Gargallo
003073,https://it.wikipedia.org/wiki/Ghemme
003076,https://it.wikipedia.org/wiki/Gozzano
003077,https://it.wikipedia.org/wiki/Granozzo_con_Monticello
003079,https://it.wikipedia.org/wiki/Grignasco
003082,https://it.wikipedia.org/wiki/Invorio
003083,https://it.wikipedia.org/wiki/Landiona
003084,https://it.wikipedia.org/wiki/Lesa
003088,https://it.wikipedia.org/wiki/Maggiora
003090,https://it.wikipedia.org/wiki/Mandello_Vitta
003091,https://it.wikipedia.org/wiki/Marano_Ticino
003093,https://it.wikipedia.org/wiki/Massino_Visconti
003095,https://it.wikipedia.org/wiki/Meina
003097,https://it.wikipedia.org/wiki/Mezzomerico
003098,https://it.wikipedia.org/wiki/Miasino
003100,https://it.wikipedia.org/wiki/Momo
003103,https://it.wikipedia.org/wiki/Nebbiuno
003104,https://it.wikipedia.org/wiki/Nibbiola
003106,https://it.wikipedia.org/wiki/Novara
003108,https://it.wikipedia.org/wiki/Oleggio
003109,https://it.wikipedia.org/wiki/Oleggio_Castello
003112,https://it.wikipedia.org/wiki/Orta_San_Giulio
003114,https://it.wikipedia.org/wiki/Paruzzaro
003115,https://it.wikipedia.org/wiki/Pella
003116,https://it.wikipedia.org/wiki/Pettenasco
003119,https://it.wikipedia.org/wiki/Pisano
003120,https://it.wikipedia.org/wiki/Pogno
003121,https://it.wikipedia.org/wiki/Pombia
003122,https://it.wikipedia.org/wiki/Prato_Sesia
003129,https://it.wikipedia.org/wiki/Recetto
003130,https://it.wikipedia.org/wiki/Romagnano_Sesia
003131,https://it.wikipedia.org/wiki/Romentino
003133,https://it.wikipedia.org/wiki/San_Maurizio_d'Opaglio
003134,https://it.wikipedia.org/wiki/San_Nazzaro_Sesia
003135,https://it.wikipedia.org/wiki/San_Pietro_Mosezzo
003138,https://it.wikipedia.org/wiki/Sillavengo
003139,https://it.wikipedia.org/wiki/Sizzano
003140,https://it.wikipedia.org/wiki/Soriso
003141,https://it.wikipedia.org/wiki/Sozzago
003143,https://it.wikipedia.org/wiki/Suno
003144,https://it.wikipedia.org/wiki/Terdobbiate
003146,https://it.wikipedia.org/wiki/Tornaco
003149,https://it.wikipedia.org/wiki/Trecate
003153,https://it.wikipedia.org/wiki/Vaprio_d'Agogna
003154,https://it.wikipedia.org/wiki/Varallo_Pombia
003158,https://it.wikipedia.org/wiki/Vespolate
003159,https://it.wikipedia.org/wiki/Vicolungo
003164,https://it.wikipedia.org/wiki/Vinzaglio
003166,https://it.wikipedia.org/wiki/Gattico-Veruno
004001,https://it.wikipedia.org/wiki/Acceglio
004002,https://it.wikipedia.org/wiki/Aisone
004003,https://it.wikipedia.org/wiki/Alba
004004,https://it.wikipedia.org/wiki/Albaretto_della_Torre
004005,https://it.wikipedia.org/wiki/Alto
004006,https://it.wikipedia.org/wiki/Argentera
004007,https://it.wikipedia.org/wiki/Arguello
004008,https://it.wikipedia.org/wiki/Bagnasco
004009,https://it.wikipedia.org/wiki/Bagnolo_Piemonte
