pro_com_t,pop_res_21
13188,4293
13189,4762
13192,908
13193,1365
13195,303
13197,1270
13199,1642
13201,7932
13202,6196
13203,485
13204,954
13206,7814
13207,275
13211,876
13212,3119
13216,1189
13217,634
13218,610
13222,5693
13223,1131
13226,235
13227,9379
13228,4905
13229,2603
13232,2611
13233,158
13234,1460
13236,200
13238,3060
13239,746
13242,4129
13245,7878
13246,190
13248,1716
13249,4095
13250,3616
13251,5381
13252,5018
13253,2978
13254,3512
13255,4674
14001,286
14002,3037
14003,583
14004,1482
14005,3224
14006,117
14007,4047
14008,1278
14009,4091
14010,1977
14011,1057
14012,917
14013,1362
14014,599
14015,1555
14016,432
14017,790
14018,7207
14019,2379
14020,2450
14021,336
14022,1127
14023,1353
14024,5420
14025,471
14026,3296
14027,3685
14028,532
14029,768
14030,549
14031,158
14032,1945
14033,4427
14034,1644
14035,536
14036,1283
14037,6791
14038,630
14039,743
14040,1022
14041,939
14043,1838
14044,2967
14045,12342
14046,1879
14047,35
14048,1428
14049,2090
14050,1914
14051,1847
14052,2243
14053,634
14054,2945
14055,290
14056,540
14057,2855
14058,361
14059,491
14060,3996
14061,21283
14062,79
14063,4610
14064,197
14065,4430
14066,8838
14067,755
14068,643
14069,2835
14070,2013
14071,4160
14072,3627
14073,2513
14074,873
14075,1062
14076,210
14077,955
14078,2931
15002,32473
15005,4669
15007,6658
15009,19201
15010,12144
15011,8932
15012,17142
15014,3663
15015,7904
15016,3763
15019,3023
15022,2036
15024,7151
15026,4099
15027,35955
15032,26358
15035,2423
15036,26711
15038,4540
15040,8389
15041,13924
15042,1216
15044,7019
15046,12471
15050,4110
15051,15539
15055,4012
15058,5491
15059,18834
15060,13901
15061,1829
15062,10937
15070,34800
15071,5092
15072,15065
15074,23168
15076,14291
15077,73537
15078,4920
15081,46687
15082,1986
15085,18551
15086,20205
15087,20100
15093,33321
15096,8163
15097,4293
15098,18311
15099,6335
15101,2989
15103,9129
15105,26888
15106,8697
15108,20635
15110,3045
15112,1596
15113,8509
15114,11232
15115,8965
15116,25676
15118,58938
15122,4035
15125,10283
15130,23918
15131,9246
15134,6133
15136,3582
15139,11955
15140,18086
15142,18276
15144,4200
15146,1397715
15150,1025
15151,8037
15154,16886
15155,641
15157,20089
15158,4471
15159,14002
15164,4254
15165,1417
15166,47980
15167,5796
15168,28077
15169,11089
15170,11292
15171,23760
15172,9007
15173,15503
15175,35821
15176,8326
15177,6410
15178,8529
15179,7315
15181,14067
15182,49609
15183,4738
15184,6757
15185,4599
15188,5779
15189,41323
15191,7323
15192,32070
15194,6703
15195,38274
15200,4935
15201,8258
15202,4365
15204,12304
15205,35771
15206,21483
15209,80589
15210,7316
15211,19738
15213,13903
15219,5240
15220,21229
15221,11858
15222,3623
15224,5789
15226,7043
15229,9311
15230,9186
15236,3290
15237,9310
15242,16653
15243,8976
15244,3938
15247,6788
15248,6142
15249,5233
15250,11717
15251,5794
16001,2185
16002,782
16003,8263
16004,17529
16005,5486
16006,6452
16007,5606
16008,13370
16009,2366
16010,3144
16011,4768
16012,3392
16013,2711
16014,170
16015,553
16016,7522
16017,376
16018,4346
16019,670
16020,4216
16021,2005
16022,704
16023,2452
16024,119684
16025,1393
16026,589
16027,74
16028,6400
16029,6178
16030,10087
16031,6599
16032,1153
16033,989
16034,4997
16035,723
16036,681
16037,8418
16038,7863
16040,6065
16041,113
16042,5574
16043,5931
16044,5332
16046,8162
16047,4272
16048,571
16049,4188
16050,1191
16051,8129
16052,3081
16053,16170
16055,4728
16056,288
16057,4639
16058,3879
16059,3987
16060,3133
16061,111
16062,10169
16063,2813
16064,3362
16065,1256
16066,2603
16067,1646
16068,2541
16069,3898
16070,4155
16071,1590
16072,3386
16073,6017
16074,6197
16075,5399
16076,5015
16077,8519
16078,1116
16079,10999
16080,1631
16081,4375
16082,926
16083,1927
16084,3278
16085,547
16086,9018
16087,4099
16088,3522
16089,7376
16090,215
16091,23346
16092,887
16093,3350
16094,1979
16096,7906
16097,1292
16098,3120
16099,1130
16100,2960
16101,4786
16102,551
16103,175
16104,3052
16105,3371
16106,206
16107,973
16108,5218
16109,1438
16110,844
16111,4940
16113,6102
16114,5125
16115,6551
16116,1492
16117,6463
16118,1165
16119,855
16120,7350
16121,166
16122,630
16123,4123
16124,4311
16125,561
16126,3683
16127,828
16128,5066
16129,2817
16130,874
16131,3978
16132,6826
16133,10757
16134,163
16135,2927
16136,202
16137,1132
16139,3227
16140,2461
16141,2882
16142,4391
16143,7331
16144,11243
16145,493
16146,978
16147,146
16148,575
16149,897
16150,1676
16151,143
16152,5229
16153,12472
16154,2079
16155,4016
16156,4506
16157,5666
16158,2693
16159,358
16160,5877
16161,1746
16162,1445
16163,1044
16164,1213
16165,381
