pro_com_t,cf
009039,00275230092
009040,00338310097
009041,00342860095
009042,00296990096
009043,00326580099
009044,00334250099
009045,00341180099
009046,00341680098
009047,00266020098
009048,00266290097
009049,00332440098
009050,00261320097
009051,00248290090
009052,00212370092
009053,00361130099
009054,00341340099
009055,00296950090
009056,00175270099
009057,00232910091
009058,00277280095
009059,00358000099
009060,00358010098
009061,00165480096
009062,00338460090
009063,00333590099
009064,00251200093
009065,00318100096
009066,00326560091
009067,00341200095
009068,00297750093
009069,00331480095
010001,00449500107
010002,00888570108
010003,00859380107
010004,83011520109
010005,82002910105
010006,80007490107
010007,83003790108
010008,00867140105
010009,00769440108
010010,00432840106
010011,00465640100
010012,00734460108
010013,00465390102
010014,00652810102
010015,00592160105
010016,00945110104
010017,80007570106
010018,00412900102
010019,00928950104
010020,00866560105
010021,00905900106
010022,80041610108
010023,00823910104
010024,00909790107
010025,00856930102
010026,00860910108
010027,00563890102
010028,00601910102
010029,00650430101
010030,00945100105
010031,83004430100
010032,00831250105
010033,00822790101
010034,82002550109
010035,00576500102
010036,00828880104
010037,00401180104
010038,00955060108
010039,80007310107
010040,82002590105
010041,83004450108
010042,00928960103
010043,83003730104
010044,00826220105
010045,80007290101
010046,83003750102
010047,00605540103
010048,82003050109
010049,00705520104
010050,80044070102
010051,00702120106
010052,00860890102
010053,82002530101
010054,00854480100
010055,00620570101
010056,82003030101
010057,00866540107
010058,00853850105
010059,00787810100
010060,83001010103
010061,00859070104
010062,80007330105
010063,83001450101
010064,83001490107
010065,00684080104
010066,00903710101
010067,83003710106
011001,81001430115
011002,80004690113
011003,00215790114
011004,00101560118
011005,00218390110
011006,00170090112
011007,80008050116
011008,80004710119
011009,00213300114
011010,00213320112
011011,00115020117
011012,00215760117
011013,00118050111
011014,80004740116
011015,00211160114
011016,00214710113
011017,00197500119
011018,00108010117
011019,00192420115
011020,81001370113
011021,80007990114
011022,00235390119
011023,00130720113
011024,00215200114
011025,80007010111
011026,00097960116
011027,00192320117
011028,00130500119
011029,00197950116
011030,00181120114
011031,00109960112
011032,80007970116
012001,00459980124
012002,82006930125
012003,00338310121
012004,00250810124
012005,00561120122
012006,00308140128
012007,00605220128
012008,00459960126
012009,00247570120
012010,00445500127
012011,00561660127
012012,00249600123
012013,00338010127
012014,00308160126
012015,00269810123
012016,00250430121
012017,83000650123
012018,00435850128
012019,00528310121
012020,84000790125
012021,00559810122
012022,00225510122
012023,00290400126
012024,00559790126
012025,00308120120
012026,00224000125
012027,00300450129
012029,00309270122
012030,00404280125
012031,00227400124
012032,00221730120
012033,00308180124
012034,00440710127
012035,00309370120
012036,00309410124
012037,00559800123
012038,00564180123
012039,00341710127
012040,82007050121
012041,00561110123
012042,00252280128
012043,00441540127
012044,00346170129
012045,00289020125
012046,00309450120
012047,00248280125
012048,00309290120
012049,00259700128
012050,00308220128
012051,00254640121
012052,00568840128
012053,00309210128
012054,00261830129
012055,00226700128
012056,00478360126
012057,00637630120
012058,00341300127
012059,84003010125
012060,00489260125
012061,00458530128
012062,00271230120
012063,00560000127
012064,00260520127
012065,00579150129
012066,00582100129
012067,00214240129
012068,00237790126
012069,00561750126
012070,00560180127
012071,00459940128
012072,00259850121
012073,00232220129
012074,00273580126
012075,00236840120
012076,00343860128
012077,00564480127
012078,00341490126
012079,00226510121
012080,00519350128
012081,00559980123
012082,00259680122
012083,00271270126
012084,00309310126
012085,00243880127
012086,00405070129
012087,00213100126
012088,00256410127
012089,00317710127
012090,00392890125
012091,00341780120
012092,84000310122
012093,00561870122
012095,00561380122
012096,00243280120
012097,84002650129
012098,00263510125
012099,00559720123
012100,83003750128
012101,83003790124
012102,00225520121
012103,00225500123
012104,00309230126
012105,00248270126
012106,00249580127
012107,00309390128
012108,00322700121
012109,00322990128
012110,00560020125
012113,00462110123
012114,00309350122
012115,00561740127
012116,00280790122
012117,00560460123
012118,00504690124
012119,00217130129
012120,00283240125
012121,00226820124
012122,00223640129
012123,00280840125
012124,00309330124
012125,00283550127
012126,00261810121
012127,00223660127
012128,00308240126
012129,84002870123
012130,00263530123
012131,00477430128
012132,00263100125
012133,00441340122
012134,00317720126
012136,00309250124
012137,00223680125
012138,00309430122
012139,00560200123
012140,00564460129
012141,00589640127
012142,03396710125
012143,03700710126
013003,00688320134
013004,00654470137
013005,80005530136
013006,00600170138
013007,00613570134
013009,00689510139
013010,00602480139
013011,80010240135
013012,81001550136
013013,91001510139
013015,00609670138
013021,00467880134
013022,00596540138
013023,00490260130
013024,00703370130
013025,00680420130
013026,00565430139
013028,00625920137
013029,81000430132
013030,80009880131
013032,80010180133
013034,00559420138
013035,00652960139
013036,00696750132
013037,00559560131
013040,80009700131
013041,00233930130
013042,00499820132
013043,00608850137
013044,80009800139
013045,80014740130
013046,81003630134
013047,00660580135
013048,00698230133
013052,00673790135
013053,81001910132
013055,00544790132
013058,00690170139
013059,00596040139
013062,00709660138
013063,80015600135
013064,00550440135
013065,00432060135
013068,00495300139
013071,84002230138
013074,00467840138
013075,80005370137
013077,00665240131
013083,00700500135
013084,81001230135
013085,00665280137
013087,00637090135
013089,00688470137
013090,00657120135
013092,00689050136
013095,00430660134
013097,00571510130
013098,00678440132
013099,00457290138
013100,00602440133
013101,00415540137
013102,00308110139
013106,93002100134
013107,00532060134
013110,00772840138
013111,00467860136
013113,00486580137
013114,00559400130
013118,00424960136
013119,80009960131
013120,00527740138
013121,00627760135
013123,82003460134
013126,00595780131
013128,00434590139
013129,00533010138
013130,00689060135
013131,00663490134
013133,00566590139
013134,00549780138
013135,00688600139
013136,82001750130
013137,00602460131
013138,00415790138
013139,82001830130
013143,81001190131
013144,00644530131
013145,00562850131
013147,00549420131
013152,00601410137
013153,00564160133
013154,00616910139
013155,00711160135
013157,00526050133
013159,80009080138
013160,00700510134
013161,00529210130
013163,81003670130
013165,00417080132
013169,00686080136
013170,00711250134
013178,00689040137
013183,00700520133
013184,00680400132
013185,00500500137
013186,00678420134
013187,00527720130
013188,00601450133
013189,00542250139
013192,00528510134
013193,00512860131
013195,00562720136
013197,80010680132
013199,80009980139
013201,00227550134
013202,00227560133
013203,00532640133
013204,00709670137
013206,00354000135
013207,00709680136
013211,80015680137
013212,00616060133
013216,00707670139
013217,82003520135
013218,00657140133
013222,00630080133
013223,00565380136
013226,00711150136
013227,00520110131
013228,00429100134
013229,82002310132
013232,00651150138
013233,84000950133
013234,00598360139
013236,00642650139
013238,00434660130
013239,00688460138
013242,00549440139
013245,00602060139
013246,00642670137
013248,02708300138
013249,03322340138
013250,00605620137
013251,03507580136
013252,03504700133
013253,03686280136
013254,03747990137
013255,03807550136
014001,00105750145
014002,00110340148
014003,00104380142
014004,00110950144
014005,00114430143
014006,00090830142
014007,00109690149
014008,00110960143
014009,00099580144
014010,00115150146
014011,00109380147
014012,00115270142
014013,00111600144
014014,80001970146
014015,00093810141
014016,00092630144
014017,82000710143
014018,00115790149
014019,80002090142
014020,00114250145
014021,82000850147
014022,00115160145
014023,00091750141
014024,00116340142
014025,00105770143
014026,00097780142
014027,00118940147
014028,00092610146
014029,00137850145
014030,00092620145
014031,00105780142
014032,00115780140
014033,00118960145
014034,00090290149
014035,00133750141
014036,00111620142
014037,83000850145
014038,00105070148
014039,00099000143
014040,00104450143
014041,00097750145
014043,00099030140
014044,00110940145
014045,00098990146
014046,00104440144
014047,00098670144
014048,00090820143
014049,00108190141
014050,00104370143
014051,00109390146
014052,00120490149
014053,00094910148
014054,00115280141
014055,00105820146
014056,00104390141
014057,00115260143
014058,00096420146
014059,00105180145
014060,00109670141
014061,00095450144
014062,00091740142
014063,00120480140
014064,00097760144
014065,83000770145
014066,00114980147
014067,00092590140
014068,00104650148
014069,00114280142
014070,00109370148
014071,00111020145
014072,83000910147
014073,00114700149
014074,00090870148
014075,00104660147
014076,00104430145
014077,81002350148
014078,00111050142
015002,01310880156
015005,03623810151
015007,01336730153
015009,03366130155
015010,02938070154
015011,80101990150
015012,82000710150
015014,83504250156
015015,80109890154
015016,01554230159
015019,03365620156
015022,04935080152
015024,80121330155
015026,02030870154
015027,00801220153
015032,00935810150
015035,80137950152
015036,03482920158
015038,03391930157
015040,03063770154
015041,00873100150
015042,80105450151
015044,02516430150
015046,00835500158
015050,84501650158
015051,02182060158
015055,80100370156
015058,01082050152
015059,03674570159
015060,83500570151
015061,03621920150
015062,01639920154
015070,01217430154
015071,84503860151
015072,01230310151
015074,80098810155
015076,80100990151
015077,01971350150
015078,82003070156
015081,03353020153
