pro_com_t,<5,>=5,totale
004166,111,2592,2703
004167,1,73,74
004168,81,1318,1399
004169,37,938,975
004170,132,3182,3314
004171,29,1082,1111
004172,4,171,175
004173,7,224,231
004174,3,168,171
004175,24,502,526
004176,84,1925,2009
004177,20,649,669
004178,5,406,411
004179,366,9363,9729
004180,167,4103,4270
004181,49,1007,1056
004182,0,108,108
004183,0,98,98
004184,2,89,91
004185,71,2112,2183
004186,11,464,475
004187,47,1478,1525
004188,0,126,126
004189,56,1515,1571
004190,58,2002,2060
004191,30,709,739
004192,89,2566,2655
004193,2,152,154
004194,36,1554,1590
004195,15,400,415
004196,32,926,958
004197,34,775,809
004198,23,336,359
004199,13,462,475
004200,1,160,161
004201,29,1176,1205
004202,34,697,731
004203,655,16816,17471
004204,3,82,85
004205,41,948,989
004206,1,152,153
004207,11,396,407
004208,135,2864,2999
004209,63,2227,2290
004210,80,1766,1846
004211,106,2241,2347
004212,124,2754,2878
004213,109,3754,3863
004214,34,1312,1346
004215,872,20559,21431
004216,4,173,177
004217,95,2057,2152
004218,21,527,548
004219,7,293,300
004220,12,468,480
004221,12,304,316
004222,246,5984,6230
004223,90,2570,2660
004224,1,97,98
004225,122,2049,2171
004226,6,159,165
004227,17,474,491
004228,26,699,725
004229,1,46,47
004230,23,751,774
004231,6,304,310
004232,114,2109,2223
004233,40,877,917
004234,23,769,792
004235,1,98,99
004237,60,1292,1352
004238,23,521,544
004239,28,1096,1124
004240,241,6222,6463
004241,101,2237,2338
004242,105,3061,3166
004243,111,2503,2614
004244,118,2760,2878
004245,234,5481,5715
004246,34,715,749
004247,54,1489,1543
004248,17,580,597
004249,3,356,359
004250,15,475,490
005001,47,1516,1563
005002,8,483,491
005003,21,943,964
005004,12,552,564
005005,2666,71399,74065
005006,6,376,382
005007,41,1047,1088
005008,4,308,312
005009,10,397,407
005010,5,292,297
005011,24,794,818
005012,81,2436,2517
005013,60,1603,1663
005014,39,1187,1226
005015,46,1125,1171
005016,8,397,405
005017,347,9865,10212
005018,36,967,1003
005019,11,310,321
005020,8,589,597
005021,21,528,549
005022,134,3539,3673
005023,43,1114,1157
005024,17,566,583
005025,91,2566,2657
005026,15,279,294
005027,2,138,140
005028,55,1746,1801
005029,15,798,813
005030,19,687,706
005031,83,2996,3079
005032,17,377,394
005033,26,680,706
005034,11,451,462
005035,9,214,223
005036,18,576,594
005037,6,360,366
005038,11,217,228
005039,6,422,428
005040,47,1174,1221
005041,13,272,285
005042,37,1348,1385
005044,9,192,201
005045,5,305,310
005046,7,266,273
005047,11,583,594
005048,11,511,522
005049,16,500,516
005050,205,5477,5682
005051,12,432,444
005052,31,1034,1065
005053,53,1476,1529
005054,7,517,524
005055,27,706,733
005056,16,526,542
005057,18,569,587
005058,86,1968,2054
005059,73,1922,1995
005060,9,310,319
005061,3,230,233
005062,5,376,381
005063,21,483,504
005064,4,194,198
005065,31,977,1008
005066,66,2047,2113
005067,35,948,983
005068,32,850,882
005069,71,2698,2769
005070,37,841,878
005071,28,829,857
005072,7,320,327
005073,27,902,929
005074,15,704,719
005075,36,1180,1216
005076,93,2214,2307
005077,29,1024,1053
005079,6,180,186
005080,363,9765,10128
005081,3,67,70
005082,13,407,420
005083,13,432,445
005084,7,534,541
005085,0,209,209
005086,16,555,571
005087,55,1900,1955
005088,4,155,159
005089,65,1486,1551
005090,12,739,751
005091,7,362,369
005092,8,459,467
005093,17,898,915
005094,11,365,376
005095,12,340,352
005096,52,1325,1377
005097,350,7726,8076
005098,1,99,100
005099,27,648,675
005100,28,964,992
005101,30,1154,1184
005103,19,510,529
005104,0,107,107
005105,4,245,249
005106,24,524,548
005107,5,151,156
005108,68,1633,1701
005109,26,756,782
005110,2,211,213
005111,9,274,283
005112,95,2270,2365
005113,21,583,604
005114,10,235,245
005115,17,840,857
005116,25,783,808
005117,85,2870,2955
005118,226,5355,5581
005119,7,363,370
005120,10,545,555
005121,37,1519,1556
006001,525,18698,19223
006002,5,292,297
006003,3229,87860,91089
006004,18,724,742
006005,18,712,730
006007,7,405,412
006008,11,347,358
006009,259,5995,6254
006010,4,253,257
006011,41,1270,1311
006012,76,1939,2015
006013,34,1541,1575
006014,14,488,502
006015,18,691,709
006016,3,155,158
006017,34,1739,1773
006018,72,1842,1914
006019,13,536,549
006020,51,1324,1375
006021,57,2208,2265
006022,28,1054,1082
006023,6,314,320
